Placa,Data de Utilizacao
GIA7B06,20/03/2024
QUA2G54,20/03/2024
FLL4673,20/03/2024
FEA0472,19/03/2024
FEA0472,19/03/2024
GIA7B06,19/03/2024
PXD7G42,19/03/2024
ERF3783,19/03/2024
GIA7B06,19/03/2024
PXD7G42,19/03/2024
GIA7B06,19/03/2024
PWS9889,19/03/2024
FLL4673,18/03/2024
PXD7G42,18/03/2024
GIA7B06,18/03/2024
PXD7G42,18/03/2024
PWS9889,18/03/2024
PWS9889,18/03/2024
GFB8C62,18/03/2024
GIA7B06,18/03/2024
PXD7G42,18/03/2024
GIA7B06,18/03/2024
PWS9889,18/03/2024
FLL4673,18/03/2024
FLL4673,16/03/2024
FLL4673,16/03/2024
FLL4673,15/03/2024
PXD7G42,15/03/2024
GIA7B06,15/03/2024
PXD7G42,15/03/2024
GIA7B06,15/03/2024
PXD7G42,15/03/2024
GIY1B04,15/03/2024
GIA7B06,15/03/2024
PWS9889,15/03/2024
FLL4673,15/03/2024
FLL4673,14/03/2024
PXD7G42,14/03/2024
DFJ9195,14/03/2024
EIB4306,14/03/2024
GIA7B06,14/03/2024
PXD7G42,14/03/2024
GIY1B04,14/03/2024
GIA7B06,14/03/2024
PXD7G42,14/03/2024
EIB4306,14/03/2024
GIA7B06,14/03/2024
PWS9889,14/03/2024
FLL4673,14/03/2024
FLL4673,13/03/2024
EIB4306,13/03/2024
PXD7G42,13/03/2024
GIA7B06,13/03/2024
GIY1B04,13/03/2024
PXD7G42,13/03/2024
GIA7B06,13/03/2024
BQU4D69,13/03/2024
PXD7G42,13/03/2024
DFJ9195,13/03/2024
DFJ9195,13/03/2024
ERF3783,13/03/2024
EIB4306,13/03/2024
GIA7B06,13/03/2024
FLL4673,13/03/2024
PWS9889,13/03/2024
FLL4673,12/03/2024
PXD7G42,12/03/2024
DFJ9195,12/03/2024
543772,12/03/2024
EIB4306,12/03/2024
GIA7B06,12/03/2024
PXD7G42,12/03/2024
GIA7B06,12/03/2024
PXD7G42,12/03/2024
EIB4306,12/03/2024
GIA7B06,12/03/2024
FLL4673,12/03/2024
PWS9889,12/03/2024
FLL4673,11/03/2024
PXD7G42,11/03/2024
DFJ9195,11/03/2024
GIA7B06,11/03/2024
PXD7G42,11/03/2024
GIA7B06,11/03/2024
PXD7G42,11/03/2024
GIY1B04,11/03/2024
GIA7B06,11/03/2024
PWS9889,11/03/2024
FLL4673,11/03/2024
FEA0472,09/03/2024
PWS9889,09/03/2024
FLL4673,08/03/2024
PXD7G42,08/03/2024
FEA0472,08/03/2024
PWS9889,08/03/2024
GIY1B04,08/03/2024
GIA7B06,08/03/2024
PWS9889,08/03/2024
PXD7G42,08/03/2024
GIY1B04,08/03/2024
GIA7B06,08/03/2024
FEA0472,08/03/2024
FEA0472,08/03/2024
GIA7B06,08/03/2024
FLL4673,08/03/2024
PWS9889,08/03/2024
FLL4673,07/03/2024
PXD7G42,07/03/2024
EIB4306,07/03/2024
GIY1B04,07/03/2024
GIA7B06,07/03/2024
PXD7G42,07/03/2024
ERF3783,07/03/2024
GIA7B06,07/03/2024
PXD7G42,07/03/2024
GIY1B04,07/03/2024
EIB4306,07/03/2024
GIA7B06,07/03/2024
FLL4673,07/03/2024
PWS9889,07/03/2024
FLL4673,06/03/2024
PXD7G42,06/03/2024
GIA7B06,06/03/2024
GIY1B04,06/03/2024
PXD7G42,06/03/2024
ERF3783,06/03/2024
GIA7B06,06/03/2024
ERF3783,06/03/2024
PXD7G42,06/03/2024
GIY1B04,06/03/2024
GIA7B06,06/03/2024
FLL4673,06/03/2024
PWS9889,06/03/2024
FLL4673,05/03/2024
DFJ9195,05/03/2024
EIB4306,05/03/2024
PXD7G42,05/03/2024
GIA7B06,05/03/2024
PXD7G42,05/03/2024
EIB4306,05/03/2024
GIY1B04,05/03/2024
GFB8C62,05/03/2024
GIA7B06,05/03/2024
PXD7G42,05/03/2024
GFB8C62,05/03/2024
ERF3783,05/03/2024
GIA7B06,05/03/2024
FLL4673,05/03/2024
PWS9889,05/03/2024
779266,05/03/2024
,04/03/2024
FLL4673,04/03/2024
PXD7G42,04/03/2024
DFJ9195,04/03/2024
GIA7B06,04/03/2024
ERF3783,04/03/2024
PXD7G42,04/03/2024
ERF3783,04/03/2024
GIA7B06,04/03/2024
PXD7G42,04/03/2024
GIA7B06,04/03/2024
FLL4673,04/03/2024
FLL4673,02/03/2024
FLL4673,02/03/2024
FLL4673,01/03/2024
PXD7G42,01/03/2024
EIB4306,01/03/2024
GIA7B06,01/03/2024
DFJ9195,01/03/2024
PXD7G42,01/03/2024
GIA7B06,01/03/2024
PXD7G42,01/03/2024
EIB4306,01/03/2024
PWS9889,01/03/2024
PWS9889,01/03/2024
GIA7B06,01/03/2024
FLL4673,01/03/2024
