Placa,Data de Utilizacao
GIY1B04,16/08/2024
BQU4D69,16/08/2024
FLL4673,16/08/2024
BQU4D69,16/08/2024
GFQ2C31,16/08/2024
BQU4D69,16/08/2024
BQU4D69,16/08/2024
GFQ2C31,16/08/2024
BQU4D69,16/08/2024
BQU4D69,16/08/2024
GFQ2C31,16/08/2024
FLL4673,16/08/2024
QUA2G54,16/08/2024
DWH6543,15/08/2024
GIY1B04,15/08/2024
FLL4673,15/08/2024
BQU4D69,15/08/2024
DFJ9195,15/08/2024
ERF3783,15/08/2024
BQU4D69,15/08/2024
BQU4D69,15/08/2024
BQU4D69,15/08/2024
BQU4D69,15/08/2024
BQU4D69,15/08/2024
FLL4673,15/08/2024
DWH6543,15/08/2024
GIY1B04,14/08/2024
DWH6543,14/08/2024
FLL4673,14/08/2024
BQU4D69,14/08/2024
BQU4D69,14/08/2024
GIA7B06,14/08/2024
DWH6543,14/08/2024
DWH6543,14/08/2024
BQU4D69,14/08/2024
BQU4D69,14/08/2024
GIA7B06,14/08/2024
BQU4D69,14/08/2024
BQU4D69,14/08/2024
EIB4306,14/08/2024
105262,14/08/2024
GIA7B06,14/08/2024
QUA2G54,14/08/2024
FLL4673,14/08/2024
DWH6543,14/08/2024
GIY1B04,13/08/2024
FLL4673,13/08/2024
BQU4D69,13/08/2024
BQU4D69,13/08/2024
GIA7B06,13/08/2024
BQU4D69,13/08/2024
BQU4D69,13/08/2024
GIY1B04,13/08/2024
DWH6543,13/08/2024
GIA7B06,13/08/2024
BQU4D69,13/08/2024
PWS9889,13/08/2024
BQU4D69,13/08/2024
GIA7B06,13/08/2024
QUA2G54,13/08/2024
FLL4673,13/08/2024
DWH6543,13/08/2024
GIY1B04,12/08/2024
FLL4673,12/08/2024
BQU4D69,12/08/2024
BQU4D69,12/08/2024
GIA7B06,12/08/2024
BQU4D69,12/08/2024
BQU4D69,12/08/2024
GIA7B06,12/08/2024
BQU4D69,12/08/2024
BQU4D69,12/08/2024
GIA7B06,12/08/2024
FLL4673,12/08/2024
QUA2G54,12/08/2024
GIG7685,10/08/2024
GIG7685,10/08/2024
GIY1B04,09/08/2024
BQU4D69,09/08/2024
BQU4D69,09/08/2024
GIA7B06,09/08/2024
BQU4D69,09/08/2024
FLL4673,09/08/2024
BQU4D69,09/08/2024
GIA7B06,09/08/2024
BQU4D69,09/08/2024
FLL4673,09/08/2024
FLL4673,09/08/2024
BQU4D69,09/08/2024
GIA7B06,09/08/2024
QUA2G54,09/08/2024
FLL4673,09/08/2024
DWH6543,08/08/2024
GIY1B04,08/08/2024
FLL4673,08/08/2024
BQU4D69,08/08/2024
BQU4D69,08/08/2024
GIA7B06,08/08/2024
BQU4D69,08/08/2024
GIY1B04,08/08/2024
BQU4D69,08/08/2024
GIA7B06,08/08/2024
FEA0472,08/08/2024
GIY1B04,08/08/2024
BQU4D69,08/08/2024
FEA0472,08/08/2024
DWH6543,08/08/2024
GIA7B06,08/08/2024
QUA2G54,08/08/2024
FLL4673,08/08/2024
GIY1B04,07/08/2024
FLL4673,07/08/2024
PXD7G42,07/08/2024
GIY1B04,07/08/2024
GIA7B06,07/08/2024
GIY1B04,07/08/2024
PXD7G42,07/08/2024
GIA7B06,07/08/2024
PXD7G42,07/08/2024
GIA7B06,07/08/2024
FLL4673,07/08/2024
QUA2G54,07/08/2024
GIY1B04,06/08/2024
FLL4673,06/08/2024
PXD7G42,06/08/2024
GIA7B06,06/08/2024
DWH6543,06/08/2024
PXD7G42,06/08/2024
GIA7B06,06/08/2024
PXD7G42,06/08/2024
GIA7B06,06/08/2024
FLL4673,06/08/2024
QUA2G54,06/08/2024
DWH6543,06/08/2024
DWH6543,05/08/2024
GIY1B04,05/08/2024
FLL4673,05/08/2024
PXD7G42,05/08/2024
344362,05/08/2024
GIA7B06,05/08/2024
PXD7G42,05/08/2024
DWH6543,05/08/2024
GIA7B06,05/08/2024
PXD7G42,05/08/2024
GIA7B06,05/08/2024
QUA2G54,05/08/2024
FLL4673,05/08/2024
,04/08/2024
GIY1B04,03/08/2024
FLL4673,03/08/2024
GIG7685,03/08/2024
QUA2G54,03/08/2024
FLL4673,03/08/2024
FLL4673,02/08/2024
PXD7G42,02/08/2024
GIY1B04,02/08/2024
GIA7B06,02/08/2024
PXD7G42,02/08/2024
GFB8C62,02/08/2024
GIA7B06,02/08/2024
PXD7G42,02/08/2024
EIB4306,02/08/2024
GFB8C62,02/08/2024
GIY1B04,02/08/2024
EIB4306,02/08/2024
GIA7B06,02/08/2024
FLL4673,02/08/2024
QUA2G54,02/08/2024
GIY1B04,01/08/2024
FLL4673,01/08/2024
DWH6543,01/08/2024
PXD7G42,01/08/2024
GIA7B06,01/08/2024
ERF3783,01/08/2024
PXD7G42,01/08/2024
GIA7B06,01/08/2024
PXD7G42,01/08/2024
ERF3783,01/08/2024
GIA7B06,01/08/2024
QUA2G54,01/08/2024
FLL4673,01/08/2024
BQU4D69,01/08/2024
