Placa,Data de Utilizacao
ERF3783,20/09/2024
PXD7G42,20/09/2024
GIA7B06,20/09/2024
GFB8C62,20/09/2024
870943,20/09/2024
PXD7G42,20/09/2024
GFB8C62,20/09/2024
GIY1B04,20/09/2024
GIA7B06,20/09/2024
FLL4673,20/09/2024
FLL4673,19/09/2024
PXD7G42,19/09/2024
DFJ9195,19/09/2024
ERF3783,19/09/2024
GIA7B06,19/09/2024
GIY1B04,19/09/2024
DWH6543,19/09/2024
PXD7G42,19/09/2024
DWH6543,19/09/2024
GIY1B04,19/09/2024
GIA7B06,19/09/2024
PXD7G42,19/09/2024
GIA7B06,19/09/2024
DWH6543,19/09/2024
FLL4673,19/09/2024
QUA2G54,19/09/2024
DWH6543,19/09/2024
FLL4673,18/09/2024
PXD7G42,18/09/2024
DFJ9195,18/09/2024
GIY1B04,18/09/2024
GIA7B06,18/09/2024
PXD7G42,18/09/2024
DWH6543,18/09/2024
GIA7B06,18/09/2024
PXD7G42,18/09/2024
DWH6543,18/09/2024
DWH6543,18/09/2024
GIA7B06,18/09/2024
FLL4673,18/09/2024
QUA2G54,18/09/2024
DWH6543,17/09/2024
DFJ9195,17/09/2024
PXD7G42,17/09/2024
GIA7B06,17/09/2024
PXD7G42,17/09/2024
FLL4673,17/09/2024
GIA7B06,17/09/2024
PXD7G42,17/09/2024
DWH6543,17/09/2024
GIA7B06,17/09/2024
QUA2G54,17/09/2024
FLL4673,17/09/2024
FLL4673,16/09/2024
PXD7G42,16/09/2024
DFJ9195,16/09/2024
FLL4673,16/09/2024
FLL4673,16/09/2024
GIA7B06,16/09/2024
GFB8C62,16/09/2024
GFB8C62,16/09/2024
PXD7G42,16/09/2024
GIA7B06,16/09/2024
PXD7G42,16/09/2024
GFQ2C31,16/09/2024
FLL4673,16/09/2024
DWH6543,14/09/2024
DWH6543,14/09/2024
FLL4673,13/09/2024
PXD7G42,13/09/2024
GIY1B04,13/09/2024
DFJ9195,13/09/2024
PXD7G42,13/09/2024
GIY1B04,13/09/2024
GFB8C62,13/09/2024
GIA7B06,13/09/2024
PXD7G42,13/09/2024
BQU4D69,13/09/2024
GFB8C62,13/09/2024
BQU4D69,13/09/2024
GIA7B06,13/09/2024
FLL4673,13/09/2024
DWH6543,12/09/2024
FLL4673,12/09/2024
PXD7G42,12/09/2024
DFJ9195,12/09/2024
EIB4306,12/09/2024
FLL4673,12/09/2024
FLL4673,12/09/2024
GIA7B06,12/09/2024
PXD7G42,12/09/2024
EIB4306,12/09/2024
DWH6543,12/09/2024
GIA7B06,12/09/2024
BQU4D69,12/09/2024
PXD7G42,12/09/2024
FLL4673,12/09/2024
673749,12/09/2024
FLL4673,12/09/2024
GIA7B06,12/09/2024
QUA2G54,12/09/2024
FLL4673,12/09/2024
FLL4673,11/09/2024
DWH6543,11/09/2024
PXD7G42,11/09/2024
DFJ9195,11/09/2024
GIA7B06,11/09/2024
GIY1B04,11/09/2024
PXD7G42,11/09/2024
GIA7B06,11/09/2024
BQU4D69,11/09/2024
PXD7G42,11/09/2024
FLL4673,11/09/2024
FLL4673,11/09/2024
PWS9889,11/09/2024
GIA7B06,11/09/2024
DWH6543,11/09/2024
FLL4673,11/09/2024
QUA2G54,11/09/2024
FLL4673,10/09/2024
PXD7G42,10/09/2024
DFJ9195,10/09/2024
GIA7B06,10/09/2024
PWS9889,10/09/2024
PXD7G42,10/09/2024
GIY1B04,10/09/2024
GIA7B06,10/09/2024
BQU4D69,10/09/2024
BQU4D69,10/09/2024
GIA7B06,10/09/2024
FLL4673,10/09/2024
QUA2G54,10/09/2024
FLL4673,09/09/2024
DWH6543,09/09/2024
BQU4D69,09/09/2024
DFJ9195,09/09/2024
EIB4306,09/09/2024
BQU4D69,09/09/2024
GIA7B06,09/09/2024
EIB4306,09/09/2024
BQU4D69,09/09/2024
BQU4D69,09/09/2024
GIA7B06,09/09/2024
BQU4D69,09/09/2024
PWS9889,09/09/2024
DWH6543,09/09/2024
BQU4D69,09/09/2024
GIA7B06,09/09/2024
FLL4673,09/09/2024
GIY1B04,06/09/2024
PXD7G42,06/09/2024
PXD7G42,06/09/2024
GIY1B04,06/09/2024
GIA7B06,06/09/2024
PWS9889,06/09/2024
FLL4673,06/09/2024
PXD7G42,06/09/2024
GIA7B06,06/09/2024
PXD7G42,06/09/2024
ERF3783,06/09/2024
GFQ2C31,06/09/2024
FLL4673,06/09/2024
QUA2G54,06/09/2024
FLL4673,05/09/2024
PXD7G42,05/09/2024
DFJ9195,05/09/2024
ERF3783,05/09/2024
GIA7B06,05/09/2024
PXD7G42,05/09/2024
GIA7B06,05/09/2024
PXD7G42,05/09/2024
EIB4306,05/09/2024
GIA7B06,05/09/2024
QUA2G54,05/09/2024
FLL4673,05/09/2024
898202,05/09/2024
,04/09/2024
GIY1B04,04/09/2024
FLL4673,04/09/2024
PXD7G42,04/09/2024
DFJ9195,04/09/2024
FLL4673,04/09/2024
GIA7B06,04/09/2024
FLL4673,04/09/2024
PXD7G42,04/09/2024
PWS9889,04/09/2024
GIA7B06,04/09/2024
PXD7G42,04/09/2024
GIA7B06,04/09/2024
FLL4673,04/09/2024
GIY1B04,03/09/2024
BQU4D69,03/09/2024
FLL4673,03/09/2024
PXD7G42,03/09/2024
DFJ9195,03/09/2024
GIA7B06,03/09/2024
PXD7G42,03/09/2024
GIA7B06,03/09/2024
PXD7G42,03/09/2024
GIA7B06,03/09/2024
DWH6543,03/09/2024
QUA2G54,03/09/2024
FLL4673,03/09/2024
BQU4D69,03/09/2024
GIY1B04,02/09/2024
FLL4673,02/09/2024
PXD7G42,02/09/2024
GIY1B04,02/09/2024
GIA7B06,02/09/2024
GIY1B04,02/09/2024
BQU4D69,02/09/2024
BQU4D69,02/09/2024
GIA7B06,02/09/2024
BQU4D69,02/09/2024
BQU4D69,02/09/2024
GIA7B06,02/09/2024
FLL4673,02/09/2024
