Placa,Data de Utilizacao
GFQ2C31,19/06/2024
QUA2G54,19/06/2024
GIG7685,18/06/2024
DWH6543,18/06/2024
FEA0472,18/06/2024
DFJ9195,18/06/2024
GIY1B04,18/06/2024
FEA0472,18/06/2024
GFQ2C31,18/06/2024
FEA0472,18/06/2024
FEA0472,18/06/2024
GFQ2C31,18/06/2024
FEA0472,18/06/2024
FEA0472,18/06/2024
GFQ2C31,18/06/2024
DWH6543,18/06/2024
DWH6543,17/06/2024
GIG7685,17/06/2024
FEA0472,17/06/2024
DFJ9195,17/06/2024
GFB8C62,17/06/2024
FEA0472,17/06/2024
GFQ2C31,17/06/2024
BQU4D69,17/06/2024
FEA0472,17/06/2024
BQU4D69,17/06/2024
FEA0472,17/06/2024
GFQ2C31,17/06/2024
FEA0472,17/06/2024
FEA0472,17/06/2024
GFQ2C31,17/06/2024
DWH6543,17/06/2024
GIG7685,15/06/2024
GIG7685,14/06/2024
FEA0472,14/06/2024
DFJ9195,14/06/2024
FEA0472,14/06/2024
GIA7B06,14/06/2024
GIY1B04,14/06/2024
FEA0472,14/06/2024
DWH6543,14/06/2024
FEA0472,14/06/2024
GIA7B06,14/06/2024
PXD7G42,14/06/2024
GIA7B06,14/06/2024
DWH6543,14/06/2024
QUA2G54,14/06/2024
DWH6543,13/06/2024
GIG7685,13/06/2024
PXD7G42,13/06/2024
GIA7B06,13/06/2024
PXD7G42,13/06/2024
GIA7B06,13/06/2024
PXD7G42,13/06/2024
GIA7B06,13/06/2024
DWH6543,13/06/2024
QUA2G54,13/06/2024
GIG7685,12/06/2024
DWH6543,12/06/2024
PXD7G42,12/06/2024
GIA7B06,12/06/2024
PXD7G42,12/06/2024
GIA7B06,12/06/2024
PXD7G42,12/06/2024
FYX6I43,12/06/2024
DWH6543,12/06/2024
QUA2G54,12/06/2024
DWH6543,11/06/2024
GIG7685,11/06/2024
PXD7G42,11/06/2024
DFJ9195,11/06/2024
GIY1B04,11/06/2024
FLL4673,11/06/2024
FLL4673,11/06/2024
GIA7B06,11/06/2024
PXD7G42,11/06/2024
FLL4673,11/06/2024
FLL4673,11/06/2024
GIA7B06,11/06/2024
PXD7G42,11/06/2024
GIA7B06,11/06/2024
DWH6543,11/06/2024
QUA2G54,11/06/2024
DWH6543,10/06/2024
GIG7685,10/06/2024
PXD7G42,10/06/2024
GIA7B06,10/06/2024
PXD7G42,10/06/2024
GIA7B06,10/06/2024
PXD7G42,10/06/2024
GIA7B06,10/06/2024
DWH6543,10/06/2024
GIY1B04,08/06/2024
DWH6543,07/06/2024
478432,07/06/2024
PXD7G42,07/06/2024
FYX6I43,07/06/2024
PXD7G42,07/06/2024
FYX6I43,07/06/2024
PXD7G42,07/06/2024
FYX6I43,07/06/2024
DWH6543,07/06/2024
QUA2G54,07/06/2024
DWH6543,06/06/2024
PXD7G42,06/06/2024
GFB8C62,06/06/2024
FYX6I43,06/06/2024
GFB8C62,06/06/2024
PXD7G42,06/06/2024
FYX6I43,06/06/2024
FLX6991,06/06/2024
PXD7G42,06/06/2024
GIY1B04,06/06/2024
FLX6991,06/06/2024
FYX6I43,06/06/2024
DWH6543,06/06/2024
PWS9889,06/06/2024
DWH6543,05/06/2024
PXD7G42,05/06/2024
FYX6I43,05/06/2024
PXD7G42,05/06/2024
FYX6I43,05/06/2024
PXD7G42,05/06/2024
GIY1B04,05/06/2024
FYX6I43,05/06/2024
DWH6543,05/06/2024
QUA2G54,05/06/2024
,04/06/2024
DWH6543,04/06/2024
PXD7G42,04/06/2024
FYX6I43,04/06/2024
PXD7G42,04/06/2024
FYX6I43,04/06/2024
PXD7G42,04/06/2024
BQU4D69,04/06/2024
FYX6I43,04/06/2024
DWH6543,04/06/2024
QUA2G54,04/06/2024
DWH6543,03/06/2024
PXD7G42,03/06/2024
DFJ9195,03/06/2024
FYX6I43,03/06/2024
PXD7G42,03/06/2024
FYX6I43,03/06/2024
PXD7G42,03/06/2024
FYX6I43,03/06/2024
DWH6543,03/06/2024
QUA2G54,03/06/2024
DWH6543,01/06/2024
DWH6543,01/06/2024
QUA2G54,01/06/2024
